No.,ID Articulo,Codigo Fabricante,Nombre del Articulo,MEDIDAS ,Categoría,Proveedor,Ubicación,Teléfono,Contacto, Precio Compra Sin  IVA, IVA,Precio de Compra Con IVA (Neto),% a Ganar,Utilidad,Es compra Interna?,"Open Pay
(2.99% + 2.5)","IVA 
Open Pay",Comisión Tienda Nube,Total Comisiones,% Descuento En Pago Con Transferencia,Precio de Venta con IVA,,IVA a Desglozar,Precio de Vta. Sin IVA,Ganancia Real,,,,,,,,,Calcula ID,,,,,,,,,
0028,OL-ZAR-DUL-0028,OL-ZAR-DUL-0028,ZARZAMORA EN ALMIBAR DE 1/2KG ,,DULCES TIPICOS Y ALIMENTOS,El Huerto,UCAREO,4434101030,Yadira Mendoza Soto, $ -   , $ -  .00 , $ -   ,0.00%, $ -   ,, $ 2.50 , $ 0.40 , $ 2.66 , $ 5.56 ,50.00%,$6,,$0.77,$5,$5,,,,,,,,,OL,ZAR,DUL,-,0028,,0,0,,28
0029,OL-TEJ-DUL-0029,OL-TEJ-DUL-0029,TEJOCOTES EN ALMIBAR DE 1KG ,,DULCES TIPICOS Y ALIMENTOS,El Huerto,UCAREO,4434101030,Yadira Mendoza Soto, $ 122 , $ 23.20 , $ 145.00 ,45.00%, $ 65.25 ,, $ 6.71 , $ 1.07 , $ 6.96 , $ 14.74 ,3.28%,$225,,$31.03,$194,$72,,,,,,,,,OL,TEJ,DUL,-,0029,,0,0,,29
0030,OL-TEJ-DUL-0030,OL-TEJ-DUL-0030,TEJOCOTES EN ALMIBAR DE 1/2KG ,,DULCES TIPICOS Y ALIMENTOS,El Huerto,UCAREO,4434101030,Yadira Mendoza Soto, $ 76 , $ 14.40 , $ 90.00 ,45.00%, $ 40.50 ,, $ 5.11 , $ 0.82 , $ 5.33 , $ 11.26 ,3.97%,$142,,$19.55,$122,$47,,,,,,,,,OL,TEJ,DUL,-,0030,,0,0,,30
0031,OL-HIG-DUL-0031,OL-HIG-DUL-0031,HIGO EN ALMIBAR DE 1/2KG ,,DULCES TIPICOS Y ALIMENTOS,El Huerto,UCAREO,4434101030,Yadira Mendoza Soto, $ 59 , $ 11.20 , $ 70.00 ,45.00%, $ 31.50 ,, $ 4.53 , $ 0.72 , $ 4.74 , $ 9.99 ,4.48%,$111,,$15.38,$96,$37,,,,,,,,,OL,HIG,DUL,-,0031,,0,0,,31
0032,OL-CHO-DUL-0032,OL-CHO-DUL-0032,CHONGOS DE 500 GR ,,DULCES TIPICOS Y ALIMENTOS,El Huerto,UCAREO,4434101030,Yadira Mendoza Soto, $ 97 , $ 18.40 , $ 115.00 ,45.00%, $ 51.75 ,, $ 5.84 , $ 0.93 , $ 6.07 , $ 12.84 ,3.57%,$180,,$24.77,$155,$58,,,,,,,,,OL,CHO,DUL,-,0032,,0,0,,32
0033,OL-CHO-DUL-0033,OL-CHO-DUL-0033,CHONGOS DE 1000 GR ,,DULCES TIPICOS Y ALIMENTOS,El Huerto,UCAREO,4434101030,Yadira Mendoza Soto, $ 113 , $ 21.60 , $ 135.00 ,45.00%, $ 60.75 ,, $ 6.42 , $ 1.03 , $ 6.66 , $ 14.11 ,3.36%,$210,,$28.95,$181,$68,,,,,,,,,OL,CHO,DUL,-,0033,,0,0,,33
0034,OL-CAP-DUL-0034,OL-CAP-DUL-0034,CAPULINES EN DULCE 1 KG. ,,DULCES TIPICOS Y ALIMENTOS,El Huerto,UCAREO,4434101030,Yadira Mendoza Soto, $ 126 , $ 24.00 , $ 150.00 ,45.00%, $ 67.50 ,, $ 6.85 , $ 1.10 , $ 7.11 , $ 15.05 ,3.24%,$233,,$32.08,$200,$74,,,,,,,,,OL,CAP,DUL,-,0034,,0,0,,34
0035,OL-CAP-DUL-0035,OL-CAP-DUL-0035,CAPULINES EN DULCE 1/2 KG. ,,DULCES TIPICOS Y ALIMENTOS,El Huerto,UCAREO,4434101030,Yadira Mendoza Soto, $ -   , $ -  .00 , $ -   ,0.00%, $ -   ,, $ 2.50 , $ 0.40 , $ 2.66 , $ 5.56 ,50.00%,$6,,$0.77,$5,$5,,,,,,,,,OL,CAP,DUL,-,0035,,0,0,,35
0036,OL-MER-DUL-0036,OL-MER-DUL-0036,MERMELADA DE TEJOCOTE 330 GR. ,,DULCES TIPICOS Y ALIMENTOS,El Huerto,UCAREO,4434101030,Yadira Mendoza Soto, $ 40 , $ 7.68 , $ 48.00 ,45.00%, $ 21.60 ,, $ 3.89 , $ 0.62 , $ 4.08 , $ 8.60 ,5.50%,$78,,$10.79,$67,$27,,,,,,,,,OL,MER,DUL,-,0036,,0,0,,36
0037,OL-MER-DUL-0037,OL-MER-DUL-0037,MERMELADA DE MEMBRILLO 330 GR. ,,DULCES TIPICOS Y ALIMENTOS,El Huerto,UCAREO,4434101030,Yadira Mendoza Soto, $ 40 , $ 7.68 , $ 48.00 ,45.00%, $ 21.60 ,, $ 3.89 , $ 0.62 , $ 4.08 , $ 8.60 ,5.50%,$78,,$10.79,$67,$27,,,,,,,,,OL,MER,DUL,-,0037,,0,0,,37
